fid,codigo,clasificacion_tipo,fecha_inicio,fecha_radicacion,resolucion
32,683070000000000170245000000000,Mutacion_Tercera_Clase,16/07/2020,17/07/2020,20207-0002
33,683070000000000170254000000000,Mutacion_Tercera_Clase,22/06/1983,23/06/1983,19836-0001
34,683070000000000170215000000000,Mutacion_Tercera_Clase,21/05/2005,22/05/2005,20055-0001
35,683070000000000170234000000000,Mutacion_Tercera_Clase,27/10/2006,28/10/2006,200610-0002
36,683070000000000170244000000000,Mutacion_Tercera_Clase,18/09/2016,19/09/2016,20169-0002
37,683070000000000170223000000000,Mutacion_Tercera_Clase,07/06/2013,08/06/2013,20136-0001
38,683070000000000170253000000000,Mutacion_Tercera_Clase,21/01/2001,22/01/2001,20011-0001
39,683070000000000170233000000000,Mutacion_Tercera_Clase,15/08/2017,16/08/2017,20178-0002
40,683070000000000170214000000000,Mutacion_Tercera_Clase,01/03/2012,02/03/2012,20123-0002
41,683070000000000170243000000000,Mutacion_Tercera_Clase,29/03/1999,30/03/1999,19993-0001
42,683070000000000170222000000000,Mutacion_Tercera_Clase,02/01/1988,03/01/1988,19881-0001
43,683070000000000170300000000000,Mutacion_Tercera_Clase,16/10/1996,17/10/1996,199610-0002
44,683070000000000170052000000000,Mutacion_Tercera_Clase,20/04/2003,21/04/2003,20034-0002
45,683070000000000170232000000000,Mutacion_Tercera_Clase,10/06/2000,11/06/2000,20006-0001
46,683070000000000170213000000000,Mutacion_Tercera_Clase,25/09/2003,26/09/2003,20039-0001
47,683070000000000170242000000000,Revision_Avaluo,13/06/2016,14/06/2016,20166-0002
48,683070000000000170221000000000,Revision_Avaluo,15/04/1984,16/04/1984,19844-0002
49,683070000000000170208000000000,Revision_Avaluo,25/04/2010,26/04/2010,20104-0001
50,683070000000000170231000000000,Revision_Avaluo,10/08/2020,11/08/2020,20208-0001
51,683070000000000170212000000000,Revision_Avaluo,07/03/1991,08/03/1991,19913-0002
52,683070000000000170241000000000,Revision_Avaluo,14/03/1982,15/03/1982,19823-0002
53,683070000000000170220000000000,Revision_Avaluo,14/10/2012,15/10/2012,201210-0001
54,683070000000000170207000000000,Revision_Avaluo,12/01/2013,13/01/2013,20131-0001
55,683070000000000170230000000000,Revision_Avaluo,22/06/2003,23/06/2003,20036-0002
56,683070000000000170211000000000,Revision_Avaluo,26/09/1991,27/09/1991,19919-0002
57,683070000000000170072000000000,Revision_Avaluo,27/02/1994,28/02/1994,19942-0001
58,683070000000000170206000000000,Revision_Avaluo,27/03/1998,28/03/1998,19983-0001
59,683070000000000170219000000000,Revision_Avaluo,13/06/1987,14/06/1987,19876-0002
60,683070000000000170229000000000,Revision_Avaluo,06/01/1991,07/01/1991,19911-0002
61,683070000000000170210000000000,Revision_Avaluo,19/10/1998,20/10/1998,199810-0001
62,683070000000000170218000000000,Revision_Avaluo,19/11/1984,20/11/1984,198411-0001
63,683070000000000170228000000000,Revision_Avaluo,11/08/2017,12/08/2017,20178-0002
64,683070000000000170048000000000,Revision_Avaluo,03/04/1990,04/04/1990,19904-0002
65,683070000000000170205000000000,Revision_Avaluo,15/06/2010,16/06/2010,20106-0001
66,683070000000000170209000000000,Revision_Avaluo,08/11/2006,09/11/2006,200611-0001
67,683070000000000170200000000000,Revision_Avaluo,07/04/2014,08/04/2014,20144-0002
68,683070000000000170217000000000,Revision_Avaluo,24/04/1987,25/04/1987,19874-0002
69,683070000000000170204000000000,Revision_Avaluo,22/11/2017,23/11/2017,201711-0001
70,683070000000000170199000000000,Revision_Avaluo,29/11/2020,30/11/2020,202011-0001
71,683070000000000170216000000000,Revision_Avaluo,27/09/1983,28/09/1983,19839-0002
72,683070000000000170203000000000,Revision_Avaluo,25/04/1991,26/04/1991,19914-0002
73,683070000000000170198000000000,Revision_Avaluo,27/07/1982,28/07/1982,19827-0001
74,683070000000000170175000000000,Revision_Avaluo,19/08/1987,20/08/1987,19878-0001
75,683070000000000170051000000000,Revision_Avaluo,06/07/2005,07/07/2005,20057-0002
76,683070000000000170202000000000,Revision_Avaluo,01/11/2015,02/11/2015,201511-0002
77,683070000000000170193000000000,Revision_Avaluo,17/10/2017,18/10/2017,201710-0001
78,683070000000000170098000000000,Revision_Avaluo,05/10/2012,06/10/2012,201210-0001
79,683070000000000170197000000000,Revision_Avaluo,20/04/1991,21/04/1991,19914-0002
80,683070000000000170174000000000,Revision_Avaluo,16/03/1987,17/03/1987,19873-0002
81,683070000000000170128000000000,Revision_Avaluo,19/02/2009,20/02/2009,20092-0001
82,683070000000000170201000000000,Revision_Avaluo,25/08/1980,26/08/1980,19808-0001
83,683070000000000170196000000000,Revision_Avaluo,30/07/1984,31/07/1984,19847-0002
84,683070000000000170097000000000,Revision_Avaluo,26/07/1986,27/07/1986,19867-0002
85,683070000000000170071000000000,Revision_Avaluo,30/05/1998,31/05/1998,19985-0001
86,683070000000000170173000000000,Revision_Avaluo,12/05/1988,13/05/1988,19885-0001
87,683070000000000170127000000000,Revision_Avaluo,09/03/2003,10/03/2003,20033-0002
88,683070000000000170195000000000,Revision_Avaluo,06/05/2009,07/05/2009,20095-0002
89,683070000000000170194000000000,Revision_Avaluo,23/06/2009,24/06/2009,20096-0001
90,683070000000000170172000000000,Revision_Avaluo,12/08/2019,13/08/2019,20198-0001
91,683070000000000170099000000000,Revision_Avaluo,30/08/1988,31/08/1988,19888-0002
92,683070000000000170046000000000,Revision_Avaluo,01/09/2016,02/09/2016,20169-0002
93,683070000000000170262000000000,Revision_Avaluo,28/08/2005,29/08/2005,20058-0001
94,683070000000000170267000000000,Revision_Avaluo,21/02/1985,22/02/1985,19852-0001
95,683070000000000170171000000000,Revision_Avaluo,18/06/1998,19/06/1998,19986-0002
96,683070000000000170266000000000,Revision_Avaluo,01/06/1996,02/06/1996,19966-0002
97,683070000000000170263000000000,Revision_Avaluo,10/09/2002,11/09/2002,20029-0001
98,683070000000000170265000000000,Revision_Avaluo,17/11/2007,18/11/2007,200711-0001
99,683070000000000170264000000000,Revision_Avaluo,16/09/1996,17/09/1996,19969-0002
100,683070000000000170062000000000,Revision_Avaluo,18/04/2013,19/04/2013,20134-0002
101,683070000000000170047000000000,Revision_Avaluo,02/04/1992,03/04/1992,19924-0001
102,683070000000000170043000000000,Revision_Avaluo,09/03/1996,10/03/1996,19963-0001
103,683070000000000170059000000000,Revision_Avaluo,11/03/2016,12/03/2016,20163-0002
104,683070000000000170069000000000,Revision_Avaluo,29/03/1993,30/03/1993,19933-0002
105,683070000000000170058000000000,Revision_Avaluo,14/05/1994,15/05/1994,19945-0001
106,683070000000000170070000000000,Revision_Avaluo,29/08/1980,30/08/1980,19808-0001
107,683070000000000170044000000000,Revision_Avaluo,29/11/2002,30/11/2002,200211-0002
108,683070000000000170045000000000,Revision_Avaluo,02/05/2004,03/05/2004,20045-0002
109,683070000000000170057000000000,Revision_Avaluo,16/09/2019,17/09/2019,20199-0001
110,683070000000000170074000000000,Revision_Avaluo,20/01/1980,21/01/1980,19801-0001
111,683070000000000120011000000000,Revision_Avaluo,23/01/1991,24/01/1991,19911-0002
112,683070000000000170076000000000,Revision_Avaluo,25/05/1982,26/05/1982,19825-0002
113,683070000000000170067000000000,Revision_Avaluo,25/06/2006,26/06/2006,20066-0001
114,683070000000000170068000000000,Revision_Avaluo,22/07/2020,23/07/2020,20207-0001
115,683070000000000140009000000000,Revision_Avaluo,11/07/2005,12/07/2005,20057-0002
116,683070000000000140010000000000,Revision_Avaluo,18/02/1989,19/02/1989,19892-0002
117,683070000000000110138000000000,Revision_Avaluo,23/12/2016,24/12/2016,201612-0001
118,683070000000000140006000000000,Revision_Avaluo,05/08/1980,06/08/1980,19808-0001
119,683070000000000140007000000000,Revision_Avaluo,15/12/1991,16/12/1991,199112-0002
120,683070000000000150164000000000,Revision_Avaluo,22/09/2016,23/09/2016,20169-0002
121,683070000000000110086000000000,Revision_Avaluo,24/01/2008,25/01/2008,20081-0001
122,683070000000000100106000000000,Revision_Avaluo,17/07/2008,18/07/2008,20087-0001
123,683070000000000150163000000000,Revision_Avaluo,28/01/1995,29/01/1995,19951-0002
124,683070000000000150023000000000,Revision_Avaluo,06/08/1995,07/08/1995,19958-0002
125,683070000000000150024000000000,Revision_Avaluo,12/06/1980,13/06/1980,19806-0001
126,683070000000000060236000000000,Revision_Avaluo,04/01/2006,05/01/2006,20061-0001
127,683070000000000150022000000000,Revision_Avaluo,17/11/1999,18/11/1999,199911-0002
128,683070000000000150121000000000,Revision_Avaluo,10/08/1998,11/08/1998,19988-0002
129,683070000000000150149000000000,Revision_Avaluo,09/07/1984,10/07/1984,19847-0001
130,683070000000000150031000000000,Revision_Avaluo,01/12/2019,02/12/2019,201912-0001
131,683070000000000150032000000000,Revision_Avaluo,11/03/1987,12/03/1987,19873-0002
132,683070000000000040109000000000,Revision_Avaluo,13/02/2010,14/02/2010,20102-0002
133,683070000000000150174000000000,Revision_Avaluo,10/08/2016,11/08/2016,20168-0001
134,683070000000000150028000000000,Revision_Avaluo,08/08/1996,09/08/1996,19968-0001
135,683070000000000150175000000000,Revision_Avaluo,22/02/2020,23/02/2020,20202-0002
136,683070000000000110135000000000,Revision_Avaluo,16/10/2012,17/10/2012,201210-0002
137,683070000000000040030000000000,Revision_Avaluo,10/06/1998,11/06/1998,19986-0001
138,683070000000000190040000000000,Revision_Avaluo,17/12/1987,18/12/1987,198712-0001
139,683070000000000150002000000000,Revision_Avaluo,30/05/1983,31/05/1983,19835-0002
140,683070000000000110141000000000,Revision_Avaluo,05/11/2013,06/11/2013,201311-0002
141,683070000000000110087000000000,Revision_Avaluo,25/06/2004,26/06/2004,20046-0001
142,683070000000000100052000000000,Revision_Avaluo,19/09/2007,20/09/2007,20079-0001
143,683070000000000070760000000000,Revision_Avaluo,04/02/2006,05/02/2006,20062-0002
144,683070000000000150125000000000,Revision_Avaluo,09/03/1985,10/03/1985,19853-0002
145,683070000000000110090000000000,Revision_Avaluo,03/05/2013,04/05/2013,20135-0001
146,683070000000000110140000000000,Revision_Avaluo,23/12/2004,24/12/2004,200412-0001
147,683070000000000110139000000000,Revision_Avaluo,14/10/1988,15/10/1988,198810-0002
148,683070000000000100051000000000,Revision_Avaluo,14/07/2018,15/07/2018,20187-0002
149,683070000000000070706000000000,Revision_Avaluo,04/12/2012,05/12/2012,201212-0001
150,683070000000000110144000000000,Revision_Avaluo,24/12/2017,25/12/2017,201712-0001
151,683070000000000110143000000000,Revision_Avaluo,19/02/1996,20/02/1996,19962-0002
152,683070000000000110053000000000,Revision_Avaluo,17/04/2013,18/04/2013,20134-0002
153,683070000000000100009000000000,Revision_Avaluo,23/12/1993,24/12/1993,199312-0001
154,683070000000000110096000000000,Revision_Avaluo,07/01/2005,08/01/2005,20051-0001
155,683070000000000110181000000000,Revision_Avaluo,03/05/1995,04/05/1995,19955-0002
156,683070000000000110048000000000,Revision_Avaluo,12/06/1987,13/06/1987,19876-0002
157,683070000000000118004000000000,Revision_Avaluo,02/05/2007,03/05/2007,20075-0001
158,683070000000000110047000000000,Revision_Avaluo,06/01/1982,07/01/1982,19821-0001
159,683070000000000070371000000000,Revision_Avaluo,04/11/2001,05/11/2001,200111-0002
160,683070000000000110120000000000,Revision_Avaluo,19/12/2020,20/12/2020,202012-0002
161,683070000000000100054000000000,Revision_Avaluo,11/08/1989,12/08/1989,19898-0001
162,683070000000000100055000000000,Revision_Avaluo,26/10/2018,27/10/2018,201810-0001
163,683070000000000100056000000000,Revision_Avaluo,17/03/1980,18/03/1980,19803-0002
164,683070000000000100047000000000,Revision_Avaluo,30/12/2015,31/12/2015,201512-0002
165,683070000000000070761000000000,Revision_Avaluo,30/11/2008,01/12/2008,200811-0001
166,683070000000000100050000000000,Revision_Avaluo,30/12/1992,31/12/1992,199212-0001
167,683070000000000100053000000000,Revision_Avaluo,12/04/1983,13/04/1983,19834-0002
168,683070000000000100123000000000,Revision_Avaluo,27/01/1986,28/01/1986,19861-0002
169,683070000000000100042000000000,Revision_Avaluo,24/06/1989,25/06/1989,19896-0001
170,683070000000000100038000000000,Revision_Avaluo,01/10/1995,02/10/1995,199510-0001
171,683070000000000190027000000000,Revision_Avaluo,25/02/2019,26/02/2019,20192-0002
172,683070000000000070707000000000,Revision_Avaluo,05/02/2019,06/02/2019,20192-0002
173,683070000000000100057000000000,Revision_Avaluo,20/12/1994,21/12/1994,199412-0001
174,683070000000000100058000000000,Revision_Avaluo,21/01/1984,22/01/1984,19841-0001
175,683070000000000100059000000000,Revision_Avaluo,15/02/1997,16/02/1997,19972-0002
176,683070000000000100060000000000,Revision_Avaluo,02/04/2010,03/04/2010,20104-0002
177,683070000000000100061000000000,Revision_Avaluo,04/03/2008,05/03/2008,20083-0001
178,683070000000000100096000000000,Revision_Avaluo,01/09/2008,02/09/2008,20089-0001
179,683070000000000100148000000000,Revision_Avaluo,19/01/1988,20/01/1988,19881-0002
180,683070000000000190120000000000,Revision_Avaluo,08/10/2001,09/10/2001,200110-0002
181,683070000000000100040000000000,Revision_Avaluo,11/06/1992,12/06/1992,19926-0001
182,683070000000000100089000000000,Revision_Avaluo,02/12/1986,03/12/1986,198612-0001
183,683070000000000100088000000000,Revision_Avaluo,17/02/1998,18/02/1998,19982-0002
184,683070000000000100092000000000,Revision_Avaluo,09/12/2005,10/12/2005,200512-0002
185,683070000000000100082000000000,Revision_Avaluo,15/06/2014,16/06/2014,20146-0001
186,683070000000000070705000000000,Revision_Avaluo,10/11/1990,11/11/1990,199011-0001
187,683070000000000100091000000000,Revision_Avaluo,17/11/1987,18/11/1987,198711-0002
188,683070000000000100087000000000,Revision_Avaluo,30/07/1993,31/07/1993,19937-0002
189,683070000000000100090000000000,Revision_Avaluo,18/09/1997,19/09/1997,19979-0001
190,683070000000000100116000000000,Revision_Avaluo,02/03/1998,03/03/1998,19983-0001
191,683070000000000100039000000000,Revision_Avaluo,15/10/1993,16/10/1993,199310-0002
192,683070000000000100044000000000,Revision_Avaluo,21/10/1998,22/10/1998,199810-0002
193,683070000000000100062000000000,Revision_Avaluo,14/04/1985,15/04/1985,19854-0001
194,683070000000000100025000000000,Revision_Avaluo,14/02/2013,15/02/2013,20132-0001
195,683070000000000100023000000000,Revision_Avaluo,17/08/2006,18/08/2006,20068-0002
196,683070000000000100121000000000,Revision_Avaluo,30/11/2006,01/12/2006,200611-0002
197,683070000000000100018000000000,Revision_Avaluo,29/09/2017,30/09/2017,20179-0001
198,683070000000000110183000000000,Revision_Avaluo,21/09/1996,22/09/1996,19969-0001
199,683070000000000190123000000000,Revision_Avaluo,21/12/1984,22/12/1984,198412-0002
200,683070000000000100094000000000,Revision_Avaluo,03/12/2004,04/12/2004,200412-0002
201,683070000000000100095000000000,Revision_Avaluo,04/04/2008,05/04/2008,20084-0001
202,683070000000000100014000000000,Revision_Avaluo,13/06/1984,14/06/1984,19846-0001
203,683070000000000100117000000000,Revision_Avaluo,26/05/1988,27/05/1988,19885-0002
204,683070000000000100013000000000,Revision_Avaluo,13/01/2003,14/01/2003,20031-0002
205,683070000000000100086000000000,Revision_Avaluo,26/05/2005,27/05/2005,20055-0001
206,683070000000000190070000000000,Revision_Avaluo,10/11/1981,11/11/1981,198111-0001
207,683070000000000110184000000000,Revision_Avaluo,09/08/1995,10/08/1995,19958-0002
208,683070000000000190076000000000,Revision_Avaluo,19/09/1985,20/09/1985,19859-0002
209,683070000000000100107000000000,Revision_Avaluo,12/11/2005,13/11/2005,200511-0001
210,683070000000000070708000000000,Revision_Avaluo,09/08/1997,10/08/1997,19978-0001
211,683070000000000190069000000000,Revision_Avaluo,01/03/1997,02/03/1997,19973-0002
212,683070000000000190075000000000,Revision_Avaluo,01/02/2000,02/02/2000,20002-0002
213,683070000000000110162000000000,Revision_Avaluo,14/02/2000,15/02/2000,20002-0001
214,683070000000000190124000000000,Revision_Avaluo,16/07/1999,17/07/1999,19997-0001
215,683070000000000190126000000000,Revision_Avaluo,21/05/1998,22/05/1998,19985-0002
216,683070000000000190072000000000,Revision_Avaluo,09/12/2007,10/12/2007,200712-0002
217,683070000000000190073000000000,Revision_Avaluo,14/06/1991,15/06/1991,19916-0001
218,683070000000000190062000000000,Revision_Avaluo,18/03/2012,19/03/2012,20123-0001
219,683070000000000190125000000000,Revision_Avaluo,27/04/1993,28/04/1993,19934-0002
220,683070000000000100098000000000,Revision_Avaluo,21/03/2013,22/03/2013,20133-0002
221,683070000000000100112000000000,Revision_Avaluo,30/05/2016,31/05/2016,20165-0001
222,683070000000000070704000000000,Revision_Avaluo,16/09/2012,17/09/2012,20129-0001
223,683070000000000190061000000000,Revision_Avaluo,17/10/2001,18/10/2001,200110-0002
224,683070000000000190060000000000,Revision_Avaluo,05/08/2005,06/08/2005,20058-0002
225,683070000000000100115000000000,Revision_Avaluo,05/12/2015,06/12/2015,201512-0001
226,683070000000000100111000000000,Revision_Avaluo,21/04/2005,22/04/2005,20054-0001
227,683070000000000100110000000000,Revision_Avaluo,12/02/1998,13/02/1998,19982-0002
228,683070000000000100109000000000,Revision_Avaluo,09/03/2008,10/03/2008,20083-0002
229,683070000000000100108000000000,Revision_Avaluo,28/07/2006,29/07/2006,20067-0001
230,683070000000000100097000000000,Revision_Avaluo,13/12/1994,14/12/1994,199412-0001
231,683070000000000100006000000000,Revision_Avaluo,05/12/2013,06/12/2013,201312-0002
232,683070000000000100101000000000,Revision_Avaluo,20/12/2010,21/12/2010,201012-0002
233,683070000000000100002000000000,Revision_Avaluo,21/12/1996,22/12/1996,199612-0001
234,683070000000000100099000000000,Revision_Avaluo,16/11/2000,17/11/2000,200011-0001
235,683070000000000110088000000000,Revision_Avaluo,15/09/1981,16/09/1981,19819-0002
236,683070000000000100074000000000,Revision_Avaluo,07/12/1984,08/12/1984,198412-0002
237,683070000000000100075000000000,Revision_Avaluo,17/05/1990,18/05/1990,19905-0001
238,683070000000000190112000000000,Revision_Avaluo,14/07/1991,15/07/1991,19917-0001
239,683070000000000100020000000000,Revision_Avaluo,25/03/2018,26/03/2018,20183-0002
240,683070000000000100035000000000,Revision_Avaluo,26/10/1985,27/10/1985,198510-0002
241,683070000000000100034000000000,Revision_Avaluo,23/07/1981,24/07/1981,19817-0001
242,683070000000000040111000000000,Revision_Avaluo,28/08/2015,29/08/2015,20158-0001
243,683070000000000100032000000000,Revision_Avaluo,12/07/2004,13/07/2004,20047-0002
244,683070000000000100031000000000,Revision_Avaluo,08/10/1997,09/10/1997,199710-0002
245,683070000000000100119000000000,Revision_Avaluo,18/04/1982,19/04/1982,19824-0001
246,683070000000000100081000000000,Revision_Avaluo,26/07/2017,27/07/2017,20177-0001
247,683070000000000100080000000000,Revision_Avaluo,16/05/1980,17/05/1980,19805-0002
248,683070000000000100079000000000,Revision_Avaluo,05/05/2017,06/05/2017,20175-0002
249,683070000000000100078000000000,Revision_Avaluo,09/11/2019,10/11/2019,201911-0001
250,683070000000000100076000000000,Revision_Avaluo,20/05/2000,21/05/2000,20005-0001
251,683070000000000100037000000000,Revision_Avaluo,11/10/1995,12/10/1995,199510-0002
252,683070000000000100030000000000,Revision_Avaluo,21/07/2002,22/07/2002,20027-0002
253,683070000000000100077000000000,Revision_Avaluo,12/01/2003,13/01/2003,20031-0001
254,683070000000000100118000000000,Revision_Avaluo,18/05/1986,19/05/1986,19865-0001
255,683070000000000190028000000000,Revision_Avaluo,25/01/2014,26/01/2014,20141-0002
256,683070000000000100138000000000,Revision_Avaluo,20/01/1985,21/01/1985,19851-0002
257,683070000000000100017000000000,Revision_Avaluo,22/12/2011,23/12/2011,201112-0001
258,683070000000000060215000000000,Revision_Avaluo,29/07/2015,30/07/2015,20157-0001
259,683070000000000198002000000000,Revision_Avaluo,21/09/2002,22/09/2002,20029-0002
260,683070000000000100065000000000,Revision_Avaluo,12/06/2017,13/06/2017,20176-0002
261,683070000000000100063000000000,Revision_Avaluo,19/07/2020,20/07/2020,20207-0001
262,683070000000000060307000000000,Revision_Avaluo,29/09/2010,30/09/2010,20109-0001
263,683070000000000100085000000000,Revision_Avaluo,20/04/2019,21/04/2019,20194-0002
264,683070000000000100133000000000,Revision_Avaluo,10/06/2004,11/06/2004,20046-0002
265,683070000000000150177000000000,Revision_Avaluo,12/03/2007,13/03/2007,20073-0001
266,683070000000000150178000000000,Revision_Avaluo,02/06/2000,03/06/2000,20006-0001
267,683070000000000150153000000000,Revision_Avaluo,13/06/1983,14/06/1983,19836-0002
268,683070000000000150173000000000,Revision_Avaluo,17/09/2018,18/09/2018,20189-0002
269,683070000000000070164000000000,Revision_Avaluo,17/12/2016,18/12/2016,201612-0001
270,683070000000000150168000000000,Revision_Avaluo,09/02/2007,10/02/2007,20072-0001
271,683070000000000150167000000000,Revision_Avaluo,23/04/2019,24/04/2019,20194-0002
272,683070000000000150180000000000,Revision_Avaluo,06/12/2001,07/12/2001,200112-0002
273,683070000000000150154000000000,Revision_Avaluo,19/07/2013,20/07/2013,20137-0001
274,683070000000000150182000000000,Revision_Avaluo,03/03/1988,04/03/1988,19883-0001
275,683070000000000150181000000000,Revision_Avaluo,08/05/1997,09/05/1997,19975-0002
276,683070000000000150170000000000,Revision_Avaluo,12/10/2016,13/10/2016,201610-0002
277,683070000000000150161000000000,Revision_Avaluo,17/02/2006,18/02/2006,20062-0001
278,683070000000000150162000000000,Revision_Avaluo,25/03/2002,26/03/2002,20023-0001
279,683070000000000150183000000000,Revision_Avaluo,06/07/2016,07/07/2016,20167-0002
280,683070000000000190099000000000,Revision_Avaluo,23/05/1986,24/05/1986,19865-0002
281,683070000000000150171000000000,Revision_Avaluo,11/10/1990,12/10/1990,199010-0001
282,683070000000000150172000000000,Revision_Avaluo,28/12/2005,29/12/2005,200512-0001
283,683070000000000150159000000000,Revision_Avaluo,24/03/1982,25/03/1982,19823-0002
284,683070000000000150131000000000,Revision_Avaluo,28/02/1984,29/02/1984,19842-0002
285,683070000000000150130000000000,Revision_Avaluo,19/04/1992,20/04/1992,19924-0001
286,683070000000000150195000000000,Revision_Avaluo,12/07/2019,13/07/2019,20197-0001
287,683070000000000150158000000000,Revision_Avaluo,09/05/1993,10/05/1993,19935-0002
288,683070000000000150123000000000,Revision_Avaluo,25/05/1999,26/05/1999,19995-0002
289,683070000000000150007000000000,Revision_Avaluo,30/09/1997,01/10/1997,19979-0001
290,683070000000000150147000000000,Revision_Avaluo,10/11/2020,11/11/2020,202011-0001
291,683070000000000150150000000000,Revision_Avaluo,03/05/1995,04/05/1995,19955-0002
292,683070000000000190100000000000,Revision_Avaluo,15/02/1982,16/02/1982,19822-0002
293,683070000000000150004000000000,Revision_Avaluo,08/08/2002,09/08/2002,20028-0001
294,683070000000000150045000000000,Revision_Avaluo,18/11/2017,19/11/2017,201711-0001
295,683070000000000190101000000000,Revision_Avaluo,09/10/2005,10/10/2005,200510-0002
296,683070000000000070265000000000,Revision_Avaluo,21/10/2016,22/10/2016,201610-0002
297,683070000000000150003000000000,Revision_Avaluo,16/11/1994,17/11/1994,199411-0001
298,683070000000000150151000000000,Revision_Avaluo,17/10/2002,18/10/2002,200210-0001
299,683070000000000040110000000000,Revision_Avaluo,05/08/1994,06/08/1994,19948-0002
300,683070000000000070250000000000,Revision_Avaluo,17/10/2001,18/10/2001,200110-0002
301,683070000000000150008000000000,Revision_Avaluo,25/10/2014,26/10/2014,201410-0001
302,683070000000000150044000000000,Revision_Avaluo,25/09/1980,26/09/1980,19809-0001
303,683070000000000070762000000000,Revision_Avaluo,28/09/1997,29/09/1997,19979-0002
304,683070000000000150179000000000,Revision_Avaluo,24/02/2015,25/02/2015,20152-0002
305,683070000000000040017000000000,Revision_Avaluo,01/07/1994,02/07/1994,19947-0001
306,683070000000000040460000000000,Revision_Avaluo,25/06/2009,26/06/2009,20096-0001
307,683070000000000040018000000000,Revision_Avaluo,29/07/1980,30/07/1980,19807-0002
308,683070000000000040012000000000,Revision_Avaluo,18/09/1983,19/09/1983,19839-0002
309,683070000000000040113000000000,Revision_Avaluo,02/09/1989,03/09/1989,19899-0001
310,683070000000000040011000000000,Revision_Avaluo,09/11/1992,10/11/1992,199211-0001
311,683070000000000040091000000000,Revision_Avaluo,22/01/2018,23/01/2018,20181-0002
312,683070000000000040020000000000,Revision_Avaluo,17/08/2011,18/08/2011,20118-0002
313,683070000000000040099000000000,Revision_Avaluo,03/02/2011,04/02/2011,20112-0001
314,683070000000000070124000000000,Revision_Avaluo,05/12/1991,06/12/1991,199112-0001
315,683070000000000040037000000000,Revision_Avaluo,19/05/2014,20/05/2014,20145-0002
316,683070000000000040048000000000,Revision_Avaluo,09/07/1998,10/07/1998,19987-0002
317,683070000000000040129000000000,Revision_Avaluo,16/05/1996,17/05/1996,19965-0001
318,683070000000000040093000000000,Revision_Avaluo,19/07/1994,20/07/1994,19947-0001
319,683070000000000040128000000000,Revision_Avaluo,17/02/1996,18/02/1996,19962-0002
